referral_type,district_of_medical_institution_bg,district_of_medical_institution_en,count_referrals
Направление за високоспециализирани дейности / Referral for Specialized Activities,Бургас,Burgas,26179
Направление за хоспитализация / Referral for Hospitalization,Шумен,Shumen,25824
Направление за медицинска експертиза / Referral for Medical Expertise,Варна,Varna,24177
Направление за хоспитализация / Referral for Hospitalization,Добрич,Dobrich,23703
Направление за хоспитализация / Referral for Hospitalization,Смолян,Smolyan,23205
Направление за високоспециализирани дейности / Referral for Specialized Activities,Плевен,Pleven,23099
Направление за хоспитализация / Referral for Hospitalization,Кюстендил,Kyustendil,22873
Направление за медицинска експертиза / Referral for Medical Expertise,Пловдив,Plovdiv,22794
Направление за високоспециализирани дейности / Referral for Specialized Activities,Благоевград,Blagoevgrad,21652
Направление за високоспециализирани дейности / Referral for Specialized Activities,Велико Търново,Veliko Tarnovo,20512
Направление за хоспитализация / Referral for Hospitalization,Кърджали,Kardzhali,19294
Направление за хоспитализация / Referral for Hospitalization,Габрово,Gabrovo,18849
Направление за хоспитализация / Referral for Hospitalization,Търговище,Targovishte,18037
Направление за хоспитализация / Referral for Hospitalization,Ямбол,Yambol,17681
Направление за високоспециализирани дейности / Referral for Specialized Activities,Стара Загора,Stara Zagora,17292
Направление за хоспитализация / Referral for Hospitalization,Ловеч,Lovech,17119
"Направление за ТЕЛК / Referral for Work Incapacity
",София Град,Sofia City,17052
Направление за хоспитализация / Referral for Hospitalization,Перник,Pernik,16932
Направление за хоспитализация / Referral for Hospitalization,Силистра,Silistra,16111
Направление за високоспециализирани дейности / Referral for Specialized Activities,Пазарджик,Pazardzhik,15804
Направление за високоспециализирани дейности / Referral for Specialized Activities,Русе,Ruse,14821
Направление за хоспитализация / Referral for Hospitalization,Разград,Razgrad,14462
Направление за високоспециализирани дейности / Referral for Specialized Activities,Шумен,Shumen,14162
Направление за медицинска експертиза / Referral for Medical Expertise,Бургас,Burgas,13602
Направление за високоспециализирани дейности / Referral for Specialized Activities,Сливен,Sliven,12743
Направление за високоспециализирани дейности / Referral for Specialized Activities,Хасково,Haskovo,12610
Направление за високоспециализирани дейности / Referral for Specialized Activities,Монтана,Montana,12542
Направление за медицинска експертиза / Referral for Medical Expertise,Стара Загора,Stara Zagora,12351
Направление за високоспециализирани дейности / Referral for Specialized Activities,София Област,Sofia,11936
Направление за високоспециализирани дейности / Referral for Specialized Activities,Перник,Pernik,11732
Направление за медицинска експертиза / Referral for Medical Expertise,Перник,Pernik,11622
Направление за медицинска експертиза / Referral for Medical Expertise,Габрово,Gabrovo,11280
Направление за високоспециализирани дейности / Referral for Specialized Activities,Добрич,Dobrich,11189
Направление за високоспециализирани дейности / Referral for Specialized Activities,Ловеч,Lovech,11084
Направление за медицинска експертиза / Referral for Medical Expertise,Пазарджик,Pazardzhik,11042
Направление за хоспитализация / Referral for Hospitalization,Видин,Vidin,10916
Направление за високоспециализирани дейности / Referral for Specialized Activities,Смолян,Smolyan,10748
Направление за медицинска експертиза / Referral for Medical Expertise,Русе,Ruse,10362
Направление за високоспециализирани дейности / Referral for Specialized Activities,Ямбол,Yambol,10214
Направление за високоспециализирани дейности / Referral for Specialized Activities,Видин,Vidin,10077
Направление за високоспециализирани дейности / Referral for Specialized Activities,Враца,Vratsa,9807
Направление за медицинска експертиза / Referral for Medical Expertise,Благоевград,Blagoevgrad,9443
Направление за медицинска експертиза / Referral for Medical Expertise,Велико Търново,Veliko Tarnovo,9265
Направление за високоспециализирани дейности / Referral for Specialized Activities,Силистра,Silistra,9092
Направление за високоспециализирани дейности / Referral for Specialized Activities,Габрово,Gabrovo,8727
Направление за високоспециализирани дейности / Referral for Specialized Activities,Разград,Razgrad,8568
Направление за медицинска експертиза / Referral for Medical Expertise,Плевен,Pleven,8420
Направление за медицинска експертиза / Referral for Medical Expertise,Монтана,Montana,8208
Направление за високоспециализирани дейности / Referral for Specialized Activities,Кюстендил,Kyustendil,7655
"Направление за ТЕЛК / Referral for Work Incapacity
",Пловдив,Plovdiv,7592
Направление за медицинска експертиза / Referral for Medical Expertise,Кюстендил,Kyustendil,7136
Направление за медицинска експертиза / Referral for Medical Expertise,Хасково,Haskovo,6409
Направление за високоспециализирани дейности / Referral for Specialized Activities,Кърджали,Kardzhali,6333
Направление за медицинска експертиза / Referral for Medical Expertise,Добрич,Dobrich,6317
Направление за медицинска експертиза / Referral for Medical Expertise,София Област,Sofia,6198
Направление за високоспециализирани дейности / Referral for Specialized Activities,Търговище,Targovishte,6080
"Направление за ТЕЛК / Referral for Work Incapacity
",Кърджали,Kardzhali,5895
